taxon	lfc_SampleSiteCLOACA	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	lfc_SampleSiteORAL_SampleSiteCLOACA	lfc_SampleSiteTANK WATER_SampleSiteCLOACA	lfc_SampleSiteTANK WATER_SampleSiteORAL	se_SampleSiteCLOACA	se_SampleSiteORAL	se_SampleSiteTANK WATER	se_SampleSiteORAL_SampleSiteCLOACA	se_SampleSiteTANK WATER_SampleSiteCLOACA	se_SampleSiteTANK WATER_SampleSiteORAL	W_SampleSiteCLOACA	W_SampleSiteORAL	W_SampleSiteTANK WATER	W_SampleSiteORAL_SampleSiteCLOACA	W_SampleSiteTANK WATER_SampleSiteCLOACA	W_SampleSiteTANK WATER_SampleSiteORAL	p_SampleSiteCLOACA	p_SampleSiteORAL	p_SampleSiteTANK WATER	p_SampleSiteORAL_SampleSiteCLOACA	p_SampleSiteTANK WATER_SampleSiteCLOACA	p_SampleSiteTANK WATER_SampleSiteORAL	q_SampleSiteCLOACA	q_SampleSiteORAL	q_SampleSiteTANK WATER	q_SampleSiteORAL_SampleSiteCLOACA	q_SampleSiteTANK WATER_SampleSiteCLOACA	q_SampleSiteTANK WATER_SampleSiteORAL	diff_SampleSiteCLOACA	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	diff_SampleSiteORAL_SampleSiteCLOACA	diff_SampleSiteTANK WATER_SampleSiteCLOACA	diff_SampleSiteTANK WATER_SampleSiteORAL	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade;g__PS1_clade;s__uncultured_bacterium	-0.4645859345238893	-0.30337987014435097	-0.6717294868214524	0.16120606437953833	-0.2071435522975631	-0.3683496166771014	0.6694746749822156	0.6954944812170942	0.8512443526151714	0.7690222249971088	0.9123045308422464	0.9315663100156549	-0.693955950665693	-0.43620744425382846	-0.7891147644713085	0.2096247145264812	-0.22705527079463983	-0.39540890725310934	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.1257554497375626	0.16217235814177566	0.073293751075978	0.09847819207414861	0.03735501715454668	0.16217235814177566	0.07329375107597802	0.0984781920741486	0.04610820479931086	0.08142018624736179	0.1198909825014766	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__uncultured;s__unidentified_marine	0.0548386185789378	0.13206533549994134	-0.3142107450962547	0.07722671692100355	-0.3690493636751925	-0.44627608059619606	0.5438305199587329	0.5647286590427966	0.6920543074581738	0.6613999970734878	0.7729622644450032	0.7878054875168341	0.10083769955224117	0.23385626598761494	-0.45402613885940574	0.11676249964123137	-0.47744809889286727	-0.5664800355768782	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.13936164977965235	0.2601052483614627	0.09631149379147104	0.12775344804426073	0.04104675004597253	0.2601052483614627	0.09631149379147104	0.12775344804426075	0.07504706225251295	0.13295455387467697	0.06973451364856709	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__Sneathiella;s__uncultured_bacterium	-1.5948256054887302	-0.8865613364026165	-1.5875576957177062	0.7082642690861137	0.007267909771023984	-0.7009963593150897	0.8434254762348478	0.8765383397197681	1.0716329838326895	0.9241654861961447	1.110927376976381	1.1362713425728603	-1.8908909564935392	-1.0114347498890381	-1.4814378800098285	0.7663825144577968	0.00654220061693421	-0.6169269020970141	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.013428046456229966	0	0.09369337253947367	0.1274317044299879	0.014972150852948353	0	0.09369337253947366	0.12743170442998794	0.13338774683290597	0.07362718954732829	0.020874519898516544	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;__	0.9231855714474516	0.10015327184785046	-0.5298983663973693	-0.8230322995996011	-1.4530839378448208	-0.6300516382452198	0.9849744101917075	1.0238537612240963	1.250982373481573	1.0538715106057146	1.2756667022601291	1.30592016252735	0.9372685847419835	0.09781989932635446	-0.42358579755414494	-0.7809607635437092	-1.1390780485767618	-0.4824580064878389	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.1595221353949369	0.2917572638997046	0.23118683833074422	0.009566071467280592	0.10743097772915543	0.2917572638997046	0.2311868383307442	0.009566071467280597	0.004648390582593581	0.28409203670785527	0.15096316226674666	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__	-2.755844812396602	-0.8461118322265919	-0.6429662186325302	1.9097329801700103	2.112878593764072	0.2031456135940617	0.7196375781074592	0.7477033698543577	0.9147974767929814	0.8131507018278096	0.9690243330991757	0.9900455765294319	-3.8294898657794776	-1.1316143090158906	-0.7028508877031298	2.3485597145489643	2.1804185112736767	0.2051881432632436	1.2840917081571385e-4	0.25779662164769995	0.48214868037928194	0.018846176989906243	0.02922645320878882	0.8374251326716668	0.0059581855258491224	1	1	0.8556164353417434	1	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.019329514275872546	0.10223231755312019	0	0	0.01932951427587257	0.1022323175531202	0	0	0.08446469641858687	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__uncultured;__	-1.0128883963633193	-1.5644654837191503	1.7709594127402302	-0.551577087355831	2.7838478091035492	3.3354248964593802	0.9506287310890447	0.988109363649126	1.2074636082247292	1.0221812380151276	1.2355010052631044	1.2645662751177793	-1.0654931449451877	-1.5832918311203112	1.4666772569187236	-0.5396079157419127	2.2532137143107533	2.63760386631276	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.04817229827064575	0.042370404837076735	0.01812007179515961	0.02741910140578515	0	0.04237040483707675	0.018120071795159613	0.027419101405785046	0.021503483068629065	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__Lentimonas;s__uncultured_bacterium	-2.3510675792658433	-2.2494458760553484	-2.214390555265236	0.10162170321049491	0.13667702400060744	0.03505532079011253	0.6332966584192461	0.6578409170336693	0.805409063803285	0.7375717349046454	0.8717460364481353	0.889736571475934	-3.712426945587044	-3.419437462477297	-2.749398603497817	0.13777873852993125	0.15678536900206377	0.03939966267988876	2.0528132327365663e-4	6.275075463000859e-4	0.005970473192381759	0.8904152882802021	0.8754140040825655	0.968571748844592	0.009525053399897667	0.0284888426020239	0.2650890097417501	1	1	1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0.12666173306232276	0.1533702300093148	0.03613302761911731	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__uncultured_bacterium	3.930113141479227	4.204069630840433	0.5214351651711048	0.27395648936120587	-3.4086779763081223	-3.682634465669328	1.097891181436627	1.141367090118174	1.3940617124857564	1.158851876713021	1.4084128996765057	1.4425604611605363	3.5796927855241023	3.6833632818387594	0.3740402311468205	0.23640337032396133	-2.4202263250294367	-2.552845835457502	3.43998387360039e-4	2.301767604736201e-4	0.7083743848855757	0.8131196811636507	0.015510849870239714	0.010684677714229261	0.01561752678614577	0.010680201685975972	1	1	0.6731708843684036	0.47439969051177916	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.022336184866737798	0	0	0	0.02233618486673779	0.0032602434030942515	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_Bacteroidetes	-0.1529843761744179	0.7754181432753207	0.9752564301823945	0.9284025194497385	1.1282408063568123	0.19983828690707384	0.7867605635151044	0.8175635258597249	0.9998392315830468	0.8730143271519811	1.045668391799723	1.0690370995071217	-0.1944484551829991	0.9484500210059085	0.9754132458258011	1.0634447689746962	1.0789661571532942	0.1869329764132686	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.19079091481309465	0.12894750348183628	0.17261012942132858	0.1322181660162826	0.046692104213536575	0.12894750348183628	0.17261012942132858	0.13221816601628258	0.012290416822753024	0.02384347764336637	0.01008179004082951	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;s__uncultured_bacterium	2.25206017002567	3.2686614308411457	1.498386977539473	1.0166012608154755	-0.7536731924861972	-1.7702744533016728	0.9945932842445777	1.0338643095437516	1.2631703909479337	1.0627686375434158	1.2869348091356712	1.3175207066490566	2.2643026106255832	3.16159615983225	1.1862112888943062	0.9565593346500553	-0.5856343205079501	-1.3436407066452387	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.5216719282839011	0	0.09088966338347473	0	0.521671928283901	0	0.09088966338347469	0.12719279949166198	0.14207041124582265	0.12450220670023376	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__	0.3369387099830172	-0.46368052462440346	-1.6080582318808996	-0.8006192346074207	-1.9449969418639168	-1.144377707256496	1.1392724439477264	1.1844321962663908	1.4464984477045748	1.1975862967547264	1.4572889452109417	1.4928593355865178	0.2957490210291412	-0.39147916283096124	-1.1116902575545113	-0.6685273844373261	-1.3346680136809654	-0.7665676731739032	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.001062426866771346	0.009241867421814405	0.021413237920972827	0.15010180098705353	0.08267611972367861	0.009241867421814402	0.02141323792097282	0.15010180098705359	0.01494780610185815	0.1894457131443168	0.14574236115458641	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Aureispira;s__uncultured_bacterium	-0.08528406369197224	-0.06974796993263838	0.23808375731867962	0.01553609375933386	0.32336782101065187	0.307831727251318	0.6546332823933552	0.6800477499371984	0.8324412864043381	0.7560796977407337	0.8956283059682638	0.9143687824008048	-0.13027761646974567	-0.10256334196985362	0.28600666642456296	0.020548222370945505	0.3610513634459765	0.3366603641509525	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.07598614847786592	0.09790110319168337	0.05104982849106648	0.08881565594011952	0.003017095676975399	0.09790110319168337	0.05104982849106647	0.0888156559401195	0.03566450233431604	0.03374126646976629	0.0651443382816571	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage;s__uncultured_bacterium	-2.288979447762203	-1.8086745365501689	-2.2556372454096545	0.48030491121203434	0.0333422023525487	-0.44696270885948564	0.641247842165757	0.6661163773593307	0.8154827619119027	0.7444548092685582	0.8806327667264218	0.8989028328669963	-3.5695706047623967	-2.715253066919409	-2.766014624418674	0.6451767188984158	0.037861641778890134	-0.4972313942252524	3.5756684028072225e-4	0.006622514312391486	0.0056745989913098045	0.5188126714358505	0.9697979965320257	0.6190258850969586	0.016591101389025514	0.29403963547018197	0.25762679420546514	1	1	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0.36314529807520435	0.1620243443672052	0.008106126016515265	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Marinobacterium;s__uncultured_Marinobacterium	-0.07874302862752623	0.29111742712083977	-1.5410857378195564	0.369860455748366	-1.4623427091920302	-1.8322031649403963	1.0067544379665123	1.046520625804911	1.2785797908433931	1.074030383729704	1.301192578557305	1.3321985769255436	-0.07821473207168068	0.2781764830453604	-1.2053105710383594	0.3443668459955291	-1.123848024720061	-1.375322866031554	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.10092770241861093	0.07733472771232469	0.06702307298072707	0.08380953334174034	0.006953484583253776	0.07733472771232468	0.06702307298072707	0.08380953334174034	0.03532152992799972	0.025583764098828315	0.07597454858139127	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__uncultured_bacterium	-1.7727762642152722	-0.9896905158172546	-0.7482352296768863	0.7830857483980176	1.024541034538386	0.24145528614036837	0.8100006863405921	0.841751112380764	1.0292839516788135	0.8939307363086644	1.072377116180055	1.0965566572816359	-2.1886108173862073	-1.1757519547768303	-0.7269473389306005	0.8760027109389231	0.9553924818798193	0.22019408166189613	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.05236453582424389	0	0.013128293917879919	0.11222058900335286	0.09855921558835712	0	0.013128293917879924	0.11222058900335286	0.044864918227744056	0.20138222879756332	0.09196228987051419	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;__	-1.6526475510585579	-0.7223170284298488	2.9147253032951435	0.9303305226287091	4.567372854353701	3.6370423317249925	1.092201637232852	1.1354460057402567	1.3868522065120379	1.1535363048878984	1.4017016149845274	1.435653381923232	-1.513134108868051	-0.6361526878232598	2.1016841517855305	0.8065030278514895	3.2584487351140834	2.53337078261379	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.0017523373786005316	0.12412906964846773	0.004805200642701296	0	0	0.12412906964846775	0.0048052006427013235	0	0.08598242271227727	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;__	0.009006801616145112	1.7774760742887639	-0.9390146857180983	1.7684692726726188	-0.9480214873342434	-2.716490760006862	0.845458721167102	0.878654452970867	1.0742091165292742	0.9260101562631082	1.1132773184662916	1.1386920507053342	0.010653153596560924	2.0229523315779505	-0.874145146665685	1.909773084789085	-0.8515591502755906	-2.385623714791194	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.16308598501479996	0.10306021199537187	0.30425018731689374	0.02732058660192142	0.24108540241988388	0.10306021199537188	0.30425018731689374	0.027320586601921455	0	0.10556760546756465	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__P3OB-42;s__uncultured_delta	0.6820370721152125	2.0263768897313907	0.1929070935033785	1.3443398176161783	-0.48912997861183394	-1.8334697962280122	0.7247144348294439	0.7529872819470207	0.9212295540365152	0.8176476269920272	0.974793150561722	0.9959922294404961	0.9411114769305303	2.691117019256594	0.20940176382544948	1.6441554689784317	-0.5017782268268648	-1.840847490605397	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.4139823724135772	0.24818147117812137	0	0.03609663257358124	0	0.2481814711781214	0	0.03609663257358125	0	0.1173278542765144	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maritimimonas;s__uncultured_marine	1.073209648960268	0.4290977337198747	0.9481356812128006	-0.6441119152403934	-0.12507396774746748	0.5190379474929259	0.5673420578389605	0.5891976373681077	0.721845522320244	0.6811748414094206	0.7986903447411738	0.8143605540975011	1.8916447919411918	0.728274701909219	1.313488346045546	-0.9455897019150908	-0.15659882277404938	0.6373564447361272	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5273885065138952	0.646909727607193	0.11715438766807482	0.18731863943772575	0.49850741459424	0.646909727607193	0.11715438766807479	0.18731863943772575	0.33040752736050305	0.06634206755964205	0.03801355193140941	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured;s__uncultured_bacterium	-1.3198722650797718	0.1150842674779246	0.5940879402174863	1.4349565325576965	1.9139602052972582	0.47900367273956174	0.659223587967384	0.6848252792656345	0.8382569057233407	0.7600768327217072	0.9007806439482798	0.9196823868600186	-2.002161769043183	0.16804909363353826	0.7087182177220975	1.887909841192447	2.124779454527391	0.520835975096769	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.1089370419002108	0	0.0168395068456619	0.04395411030404923	0	0	0.016839506845661906	0.04395411030404924	0	0	0.06064223507070923	FALSE	FALSE	FALSE	FALSE
